Name,Description,Cost,Path
Ability Shield,Your Ability cannot be affected or changed in any way.,2500P,Battle/Ability%20Shield.jpg
Air Balloon,"You are Immune to Ground-Type Moves until you are hit by a non-Ground Type Move, whereupon it pops.",500P,Battle/Air%20Balloon.jpg
Amulet Coin,You earn 10% more Poké from Mission Rewards.,5000P,Battle/Amulet%20Coin.jpg
Assault Vest,"Your Sp.Def modifier increases by 3, but you cannot use Status Moves.",2500P,Battle/Assault%20Vest.jpg
Big Root,"When you heal from Moves that drain foes of HP, restore an additional 1d6.",2000P,Battle/Big%20Root.jpg
Binding Band,"Whenever you inflict the Trapped Condition, the target takes an additional 1d6 per turn.",2000P,Battle/Binding%20Band.jpg
Bright Powder,"Whenever you are targeted by a Move, roll a d6. On a 5-6, the attacker is Blinded. Has 10 uses, before it is consumed.",2500P,Battle/Bright%20Powder.jpg
Clear Amulet,Your Stats cannot be lowered by another Pokémon.,3000P,Battle/Clear%20Amulet.jpg
Destiny Knot,"If you become Infatuated, the Pokémon that Infatuated you is now Infatuated by you.",2500P,Battle/Destiny%20Knot.jpg
Eject Button,"If your Stats are lowered, you can use a Reaction to leap 2 tiles away without provoking Opportunity Strikes.",3000P,Battle/Eject%20Button.jpg
Expert Belt,"Your Super-Effective Moves deal an additional 1d6 damage. This additional Die  cannot score a Critical Hit. However, your Not Very Effective Moves deal 1d6 less  (to a minimum of 1).",4000P,Battle/Expert%20Belt.jpg
Flame Orb,User has the Burned Condition when they hold it.,2500P,Battle/Flame%20Orb.jpg
Float Stone,User has the Levitate Rare Quality when they hold it.,3000P,Battle/Float%20Stone.jpg
Grip Claw,"Whenever you inflict the Trapped Condition, the target cannot make a Status 
Resist Check for the first turn they are trapped.",2000P,Battle/Grip%20Claw.jpg
Heavy-Duty Boots,"You cannot be affected by Spikes, Toxic Spikes, Stealth Rocks, or Traps",2500P,Battle/Heavy-Duty%20Boots.jpg
Iron Ball,You cannot benefit from Flying or Levitating.,1000P,Battle/Iron%20Ball.jpg
Lagging Tail,You always go last in a Round of Battle.,1500P,Battle/Lagging%20Tail.jpg
Leek,"Farfetch'd and Sirfetch'd holding this item Score a Critical Hit on a 5-6 on all 
their Physical Moves.",2000P,Battle/Leek.jpg
Life Orb,"You take 1d6 damage per Round of Battle you hold this (taken at end of turn), but your Moves have their Move Power increased by 1.",3500P,Battle/Life%20Orb.jpg
Light Clay,Your Reflects and Light Screens persist for 10 Rounds instead of 5.,2000P,Battle/Light%20Clay.jpg
Lucky Punch,Chansey and Blissey holding this item Score a Critical Hit on a 5-6 on all their Physical Moves.,2000P,Battle/Lucky%20Punch.jpg
Protective Pads,You suffer no effects from Abilities that trigger off you dealing Physical Damage,2500P,Battle/Protective%20Pads.jpg
Quick Claw,"When you start a Round of Battle, roll a d6. On a 6, your Moves have Priority.",2000P,Battle/Quick%20Claw.jpg
Red Card,"If you are damaged by a Pokémon, present this Item as a Reaction. They are warped away to a different part of the Floor. This consumes the Item.",500P,Battle/Red%20Card.jpg
Rocky Helmet,Attackers that damage you with a Physical Move take 1d6 damage.,3000P,Battle/Rocky%20Helmet.jpg
Shed Shell,You do not trigger Opportunity Strikes by moving out of range of a Foe.,2500P,Battle/Shed%20Shell.jpg
Sticky Barb,Holder takes 1d6 damage at the start of their turn in Battle.,1500P,Battle/Sticky%20Barb.jpg
Terrain Extender,Your Terrain Moves persist for 10 Rounds instead of 5.,2000P,Battle/Terrain%20Extender.jpg
Throat Spray,"After using a Sound-Based Move, you use this Item as a Reaction, and gain Sp.Atk Up 2. You can only use this Item once per Battle, and it has 10 total uses before it is consumed.",2000P,Battle/Throat%20Spray.jpg
Toxic Orb,User has the Poisoned Condition when they hold it.,2500P,Battle/Toxic%20Orb.jpg
Utility Umbrella,You are unaffected by Rain and Harsh Sunlight.,1500P,Battle/Utility%20Umbrella.jpg
