Name,Description,Cost,Path
Cheri Berry,"Heals Paralysed Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",25P,Berries/Cheri%20Berry.jpg
Chesto Berry,"Cures Asleep Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",25P,Berries/Chesto%20Berry.jpg
Oran Berry,"Restores HP by 100. When held, and you fall below 50% HP, you can use a Reaction to regain 25% of your HP. Can be used to fill half your belly for today.",50P,Berries/Oran%20Berry.jpg
Pecha Berry,"Cures Poisoned Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today",25P,Berries/Pecha%20Berry.jpg
Rawst Berry,"Cures Burned Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",25P,Berries/Rawst%20Berry.jpg
Aspear Berry,"Cures Frozen Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",25P,Berries/Aspear%20Berry.jpg
Sitrus Berry,"Restores HP fully, and permanently increases max HP by 5. When held, and you fall below 50% HP, you can use a Reaction to regain 50% of your HP. Can be used to fill half your belly for today.",150P,Berries/Sitrus%20Berry.jpg
Leppa Berry,"One Move of your choice regains 10PP. When held, you can use a Reaction to eat the Berry to restore a Move that has 0PP. Can be used to fill half your belly for today.",50P,Berries/Leppa%20Berry.jpg
Persim Berry,"Cures Confused Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",25P,Berries/Persim%20Berry.jpg
Lum Berry,"Cures any Status. When held, you can use a Reaction to eat the Berry to cure the status. Can be used to fill half your belly for today.",100P,Berries/Lum%20Berry.jpg
Iapapa Berry,"Restores HP fully, and permanently increases max HP by 10. When held, and you fall below 50% HP, you can use a Reaction to regain 50% of your HP. Can be used to fill half your belly for today.",100P,Berries/Iapapa%20Berry.jpg
Occa Berry,"When held, you eat the Berry as a Reaction to taking damage from a Fire-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Occa%20Berry.jpg
Passho Berry,"When held, you eat the Berry as a Reaction to taking damage from a Water-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Passho%20Berry.jpg
Wacan Berry,"When held, you eat the Berry as a Reaction to taking damage from an Electric-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Wacan%20Berry.jpg
Rindo Berry,"When held, you eat the Berry as a Reaction to taking damage from a Grass-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Rindo%20Berry.jpg
Yache Berry,"When held, you eat the Berry as a Reaction to taking damage from an Ice-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Yache%20Berry.jpg
Chople Berry,"When held, you eat the Berry as a Reaction to taking damage from a Fighting-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Chople%20Berry.jpg
Kebia Berry,"When held, you eat the Berry as a Reaction to taking damage from a Poison-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Kebia%20Berry.jpg
Shuca Berry,"When held, you eat the Berry as a Reaction to taking damage from a Ground-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Shuca%20Berry.jpg
Coba Berry,"When held, you eat the Berry as a Reaction to taking damage from a Flying-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Coba%20Berry.jpg
Payapa Berry,"When held, you eat the Berry as a Reaction to taking damage from a Psychic-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Payapa%20Berry.jpg
Tanga Berry,"When held, you eat the Berry as a Reaction to taking damage from a Bug-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Tanga%20Berry.jpg
Charti Berry,"When held, you eat the Berry as a Reaction to taking damage from a Rock-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Charti%20Berry.jpg
Kasib Berry,"When held, you eat the Berry as a Reaction to taking damage from a Ghost-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Kasib%20Berry.jpg
Haban Berry,"When held, you eat the Berry as a Reaction to taking damage from a Dragon-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Haban%20Berry.jpg
Colbur Berry,"When held, you eat the Berry as a Reaction to taking damage from a Dark-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Colbur%20Berry.jpg
Babiri Berry,"When held, you eat the Berry as a Reaction to taking damage from a Steel-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Babiri%20Berry.jpg
Chilan Berry,"When held, you eat the Berry as a Reaction to taking damage from a Normal-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Chilan%20Berry.jpg
Roseli Berry,"When held, you eat the Berry as a Reaction to taking damage from a Fairy-Type Move. It deals half of the damage it would normally do instead.",50P,Berries/Roseli%20Berry.jpg
Liechi Berry,"When held, and you fall below 50% HP, your Attack Modifier raises by 2.",50P,Berries/Liechi%20Berry.jpg
Ganlon Berry,"When held, and you fall below 50% HP, your Defence Modifier raises by 2.",50P,Berries/Ganlon%20Berry.jpg
Salac Berry,"When held, and you fall below 50% HP, your Speed Modifier raises by 2.",50P,Berries/Salac%20Berry.jpg
