Name,Description,Cost,Path
Auspicious Armour,Evolves Charcadet into Armarouge,1000P,Evolution/Auspicious%20Armour.jpg
Black Augurite,Evolves Scyther into Kleavor,1000P,Evolution/Black%20Augurite.jpg
Chipped Pot,Evolves Antique Form Sinistea into Chipped Pot Polteageist,1000P,Evolution/Chipped%20Pot.jpg
Cracked Pot,Evolves Phony Form Sinistea into Cracked Pot Polteageist,1000P,Evolution/Cracked%20Pot.jpg
Dawn Stone,Evolves certain Pokémon,1000P,Evolution/Dawn%20Stone.jpg
Deepseascale,Evolves Clamperl into Gorebyss,1000P,Evolution/Deepseascale.jpg
Deepseatooth,Evolves Clamperl into Huntail,1000P,Evolution/Deepseatooth.jpg
Dragon Scale,Evolves Seadra into Kingdra,1000P,Evolution/Dragon%20Scale.jpg
Dubious Disc,Evolves Porygon2 into Porygon-Z,1000P,Evolution/Dubious%20Disc.jpg
Dusk Stone,Evolves certain Pokémon,1000P,Evolution/Dusk%20Stone.jpg
Electrizer,Evolves Electabuzz into Electivire,1000P,Evolution/Electrizer.jpg
Fire Stone,Evolves certain Pokémon,1000P,Evolution/Fire%20Stone.jpg
Galarica Cuff,Evolves Galarian Slowpoke into Galarian Slowbro,1000P,Evolution/Galarica%20Cuff.jpg
Galarica Wreath,Evolves Galarian Slowpoke into Galarian Slowking,1000P,Evolution/Galarica%20Wreath.jpg
Ice Stone,Evolves certain Pokémon,1000P,Evolution/Ice%20Stone.jpg
King's Rock,Evolves certain Pokémon,1000P,Evolution/King's%20Rock.jpg
Leaf Stone,Evolves certain Pokémon,1000P,Evolution/Leaf%20Stone.jpg
Link Cable,Evolves certain Pokémon,1000P,Evolution/Link%20Cable.jpg
Magmarizer,Evolves Magmar into Magmortar,1000P,Evolution/Magmarizer.jpg
Malicious Armour,Evolves Charcadet into Ceruledge,1000P,Evolution/Malicious%20Armour.jpg
Masterpiece Teacup,Evolves Artisan Form Poltchageist into Masterpiece Form Sinistcha,1000P,Evolution/Masterpiece%20Teacup.jpg
Metal Alloy,Evolves Duraludon into Archaludon,1000P,Evolution/Metal%20Alloy.jpg
Metal Coat,Evolves certain Pokémon,1000P,Evolution/Metal%20Coat.jpg
Moon Stone,Evolves certain Pokémon,1000P,Evolution/Moon%20Stone.jpg
Oval Stone,Evolves Happiny into Chansey,1000P,Evolution/Oval%20Stone.jpg
Peat Block,Evolves Ursaring into Ursaluna,1000P,Evolution/Peat%20Block.jpg
Prism Scale,Evolves Feebas into Milotic,1000P,Evolution/Prism%20Scale.jpg
Protector,Evolves Rhydon into Rhyperior,1000P,Evolution/Protector.jpg
Razor Claw,"Evolves Sneasel into Weavile, and Hisuian Sneasle into Sneasler",1000P,Evolution/Razor%20Claw.jpg
Razor Fang,Evolves Gligar into Gliscor,1000P,Evolution/Razor%20Fang.jpg
Reaper Cloth,Evolves Dusclops into Dusknoir,1000P,Evolution/Reaper%20Cloth.jpg
Sachet,Evolves Spritzee into Aromatisse,1000P,Evolution/Sachet.jpg
Shiny Stone,Evolves certain Pokémon,1000P,Evolution/Shiny%20Stone.jpg
Sun Stone,Evolves certain Pokémon,1000P,Evolution/Sun%20Stone.jpg
Sweet Apple,Evolves Applin into Appletun,1000P,Evolution/Sweet%20Apple.jpg
Syrupy Apple,Evolves Applin into Dipplin,1000P,Evolution/Syrupy%20Apple.jpg
Tart Apple,Evolves Applin into Flapple,1000P,Evolution/Tart%20Apple.jpg
Thunder Stone,Evolves certain Pokémon,1000P,Evolution/Thunder%20Stone.jpg
Unremarkable Teacup,Evolves Counterfeit Form Poltchageist into Unremarkable Form Sinistcha,1000P,Evolution/Unremarkable%20Teacup.jpg
Upgrade,Evolves Porygon into Porygon2,1000P,Evolution/Upgrade.jpg
Water Stone,Evolves certain Pokémon,1000P,Evolution/Water%20Stone.jpg
Whipped Dream,Evolves Swirlix into Slurpuff,1000P,Evolution/Whipped%20Dream.jpg
