Name,Description,Cost,Path
Adamant Crystal,Changes Dialga between its Regular and Origin Formes. Dialga holding this Item has its Move Power of all Moves increased by 1.,,Form-Changing/Adamant%20Crystal.jpg
DNA Splicers,Fuses Reshiram or Zekrom with Kyurem,,Form-Changing/DNA%20Splicers.jpg
Gracidea,Changes Shaymin between Land and Sky Formes,,Form-Changing/Gracidea.jpg
Griseous Core,Changes Giratina between its Altered and Origin Formes. Giratina holding this Item has its Move Power of all Moves increased by 1.,,Form-Changing/Griseous%20Core.jpg
Lustrous Globe,Changes Palkia between its Regular and Origin Formes,,Form-Changing/Lustrous%20Globe.jpg
Meteorite,"Acts as a Mega Stone for Rayquaza. Changes Deoxys between its Normal, Attack, Defence and Speed Formes",,Form-Changing/Meteorite.jpg
N-Lunarizer,Fuses Lunala with Necrozma,,Form-Changing/N-Lunarizer.jpg
N-Solarizer,Fuses Solgaleo with Necrozma,,Form-Changing/N-Solarizer.jpg
Pink Nectar,Changes Oricorio into Pa'u Style.,,Form-Changing/Pink%20Nectar.jpg
Purple Nectar,Changes Oricorio into Sensu Style.,,Form-Changing/Purple%20Nectar.jpg
Red Nectar,Changes Oricorio into Baile Style,,Form-Changing/Red%20Nectar.jpg
Yellow Nectar,Changes Oricorio into Pom-Pom Style.,,Form-Changing/Yellow%20Nectar.jpg
Prison Bottle,Changes Hoopa between its Confined and Unbound Formes.,,Form-Changing/Prison%20Bottle.jpg
Reins of Unity,Fuses Glastrier or Spectrier with Calyrex,,Form-Changing/Reins%20of%20Unity.jpg
Reveal Glass,"Changes Tornadus, Thundurus, Landorus and Enamorus between Incarnate and Therian Forms",,Form-Changing/Reveal%20Glass.jpg
Rotom Catalog,"Changes Rotom between its Standard, Heat, Wash, Frost, Fan and Mow Forms.",,Form-Changing/Rotom%20Catalog.jpg
