Name,Description,Cost,Path
Fire Gem,Raises the Move Power by 1 of Fire type moves when held.,350P,Gems/Fire%20Gem.jpg
Water Gem,Raises the Move Power by 1 of Water type moves when held.,350P,Gems/Water%20Gem.jpg
Electric Gem,Raises the Move Power by 1 of Electric type moves when held.,350P,Gems/Electric%20Gem.jpg
Grass Gem,Raises the Move Power by 1 of Grass type moves when held.,350P,Gems/Grass%20Gem.jpg
Ice Gem,Raises the Move Power by 1 of Ice type moves when held.,350P,Gems/Ice%20Gem.jpg
Fighting Gem,Raises the Move Power by 1 of Fighting type moves when held.,350P,Gems/Fighting%20Gem.jpg
Poison Gem,Raises the Move Power by 1 of Poison type moves when held.,350P,Gems/Poison%20Gem.jpg
Ground Gem,Raises the Move Power by 1 of Ground type moves when held.,350P,Gems/Ground%20Gem.jpg
Flying Gem,Raises the Move Power by 1 of Flying type moves when held.,350P,Gems/Flying%20Gem.jpg
Psychic Gem,Raises the Move Power by 1 of Psychic type moves when held.,350P,Gems/Psychic%20Gem.jpg
Bug Gem,Raises the Move Power by 1 of Bug type moves when held.,350P,Gems/Bug%20Gem.jpg
Rock Gem,Raises the Move Power by 1 of Rock type moves when held.,350P,Gems/Rock%20Gem.jpg
Ghost Gem,Raises the Move Power by 1 of Ghost type moves when held.,350P,Gems/Ghost%20Gem.jpg
Dragon Gem,Raises the Move Power by 1 of Dragon type moves when held.,350P,Gems/Dragon%20Gem.jpg
Dark Gem,Raises the Move Power by 1 of Dark type moves when held.,350P,Gems/Dark%20Gem.jpg
Steel Gem,Raises the Move Power by 1 of Steel type moves when held.,350P,Gems/Steel%20Gem.jpg
Normal Gem,Raises the Move Power by 1 of Normal type moves when held.,350P,Gems/Normal%20Gem.jpg
Fairy Gem,Raises the Move Power by 1 of Fairy type moves when held.,350P,Gems/Fairy%20Gem.jpg
