Name,Description,Cost,Path
Black Gummi,Permanently raises IQ of dark types by 5. Can be used to fill half your belly for today.,250P,Gummies/Black%20Gummi.jpg
Blue Gummi,Permanently raises IQ of water types by 5. Can be used to fill half your belly for today.,250P,Gummies/Blue%20Gummi.jpg
Brown Gummi,Permanently raises IQ of ground types by 5. Can be used to fill half your belly for today.,250P,Gummies/Brown%20Gummi.jpg
Clear Gummi,Permanently raises IQ of ice types by 5. Can be used to fill half your belly for today.,250P,Gummies/Clear%20Gummi.jpg
Gold Gummi,Permanently raises IQ of psychic types by 5. Can be used to fill half your belly for today.,250P,Gummies/Gold%20Gummi.jpg
Grass Gummi,Permanently raises IQ of grass types by 5. Can be used to fill half your belly for today.,250P,Gummies/Grass%20Gummi.jpg
Grey Gummi,Permanently raises IQ of rock types by 5. Can be used to fill half your belly for today.,250P,Gummies/Grey%20Gummi.jpg
Green Gummi,Permanently raises IQ of bug types by 5. Can be used to fill half your belly for today.,250P,Gummies/Green%20Gummi.jpg
Mysterious Gummi,Permanently raises IQ of all types by 10. Can be used to fill half your belly for today.,500P,Gummies/Mysterious%20Gummi.jpg
Orange Gummi,Permanently raises IQ of fighting types by5. Can be used to fill half your belly for today.,250P,Gummies/Orange%20Gummi.jpg
Pink Gummi,Permanently raises IQ of poison types by 5. Can be used to fill half your belly for today.,250P,Gummies/Pink%20Gummi.jpg
Purple Gummi,Permanently raises IQ of ghost types by 5 Can be used to fill half your belly for today.,250P,Gummies/Purple%20Gummi.jpg
Red Gummi,Permanently raises IQ of fire types by 5. Can be used to fill half your belly for today.,250P,Gummies/Red%20Gummi.jpg
Royal Gummi,Permanently raises IQ of dragon types by 5. Can be used to fill half your belly for today.,250P,Gummies/Royal%20Gummi.jpg
Silver Gummi,Permanently raises IQ of steel types by 5. Can be used to fill half your belly for today.,250P,Gummies/Silver%20Gummi.jpg
Sky Gummi,Permanently raises IQ of flying types by 5. Can be used to fill half your belly for today.,250P,Gummies/Sky%20Gummi.jpg
White Gummi,Permanently raises IQ of normal types by 5. Can be used to fill half your belly for today.,250P,Gummies/White%20Gummi.jpg
Yellow Gummi,Permanently raises IQ of electric types by 5. Can be used to fill half your belly for today.,250P,Gummies/Yellow%20Gummi.jpg
DX Gummi,"Permanently raises IQ of all types by 5, and grants a Rare Quality. Can be used to fill half your belly for today.",1000P,Gummies/DX%20Gummi.jpg
