Name,Description,Cost,Path
HP Up,Increases HP permanently by 10. Can be used to fill half your belly for today.,2000P,Medicines/HP%20Up.jpg
Protein,Increases Attack permanently by 5. Can be used to fill half your belly for today. ,2000P,Medicines/Protein.jpg
Iron,Increases Defence permanently by 5. Can be used to fill half your belly for today.,2000P,Medicines/Iron.jpg
Calcium,Increases Special Attack permanently by 5. Can be used to fill half your belly for today.,2000P,Medicines/Calcium.jpg
Zinc,Increases Special Defence permanently by 5. Can be used to fill half your belly for today.,2000P,Medicines/Zinc.jpg
Carbos,Increases Speed permanently by 5. Can be used to fill half your belly for today.,2000P,Medicines/Carbos.jpg
Ginseng,Boosts the Move Power of a Move of your choice by 1. Can be used to fill half your belly for today.,2000P,Medicines/Ginseng.jpg
PP Up,Increase the Maximum PP of a Move of your choice by 25%. Can only be used a maximum of 3 times on one move.,500P,Medicines/PP%20Up.jpg
PP Max,Increase the Maximum PP of a Move of your choice by 75%. Can only be used once on a Move. Cannot stack with PP Up.,1000P,Medicines/PP%20Max.jpg
Elixir,Recovers all PP of one Move. Can be used to fill half your belly for today.,150P,Medicines/Elixir.jpg
Max Elixir,Recovers all PP. Can be used to fill half your belly for today.,175P,Medicines/Max%20Elixir.jpg
