Name,Description,Cost,Path
All-Mach Orb,"Raises Speed modifier by 2, range: all team members",150P,Orbs/All-Mach%20Orb.jpg
Blowback Orb,"Pushes a target back 6 tiles. If they collide with a wall or Pokémon, they take 1d6 damage, range: foe in front",100P,Orbs/Blowback%20Orb.jpg
Cleanse Orb,"Cleans sticky and gummed up items, range: all team members",150P,Orbs/Cleanse%20Orb.jpg
Decoy Orb,"Gives foe Taunted, range: foe in front",150P,Orbs/Decoy%20Orb.jpg
Drought Orb,Dries up all water and magma on floor.,200P,Orbs/Drought%20Orb.jpg
Escape Orb,"Allows escape from dungeon, range: all team members",50P,Orbs/Escape%20Orb.jpg
Foe-Seal Orb,"Gives foes into Restrained status, range: foes in front",100P,Orbs/Foe-Seal%20Orb.jpg
Foe-Fear Orb,"Gives foes into Frightened status, range: foes in front",150P,Orbs/Foe-Fear%20Orb.jpg
Snowy Orb,Starts Snowstorm weather,200P,Orbs/Snowy%20Orb.jpg
Identify Orb,"Reveals all held items of Pokémon, range: whole floor",200P,Orbs/Identify%20Orb.jpg
Invisify Orb,"Gives Invisible status, range: user",150P,Orbs/Invisify%20Orb.jpg
Lasso Orb,"Pulls the target 1 tile towards you, range: 2 tiles away",100P,Orbs/Lasso%20Orb.jpg
Luminous Orb,Reveals entire floor,200P,Orbs/Luminous%20Orb.jpg
Mobile Orb,"Raises Speed Modifier by 2, range: user",150P,Orbs/Mobile%20Orb.jpg
Nullify Orb,Nullifies all Abilities on the current floor,200P,Orbs/Nullify%20Orb.jpg
One-Room Orb,Breaks down all walls in the current floor,200P,Orbs/One-Room%20Orb.jpg
One-Shot Orb,"Roll a d6 for each foe in the Room. On a 3-6, the Foe is knocked in one hit, range: Room",500P,Orbs/One-Shot%20Orb.jpg
Pierce Orb,"Items thrown in a straight line by the Pokémon will pass through obstacles, range: user",200P,Orbs/Pierce%20Orb.jpg
Radar Orb,Reveals the number of foes on the current floor,100P,Orbs/Radar%20Orb.jpg
Rainy Orb,Starts Rain weather on the current floor,200P,Orbs/Rainy%20Orb.jpg
Rebound Orb,"Gives Counter and Mirror Coat status, which ends when reflecting damage for the first time, range: user",150P,Orbs/Rebound%20Orb.jpg
Rollcall Orb,"Draws all team members next to user, range: floor",150P,Orbs/Rollcall%20Orb.jpg
Sandy Orb,Starts Sandstorm weather on the current floor,200P,Orbs/Sandy%20Orb.jpg
Scanner Orb,Reveals the number of unclaimed items on floor,200P,Orbs/Scanner%20Orb.jpg
See-Trap Orb,Reveals all traps on floor,200P,Orbs/See-Trap%20Orb.jpg
Silence Orb,"Gives Silenced status, range: foes in a 2-tile radius",150P,Orbs/Silence%20Orb.jpg
Slow Orb,"Lowers foes' Speed Modifier by 2, range: foes in room",150P,Orbs/Slow%20Orb.jpg
Slumber Orb,"Gives Asleep status, range: foe in front",100P,Orbs/Slumber%20Orb.jpg
Snatch Orb,"Physical moves steal the Pokémon’s held item, range: user",150P,Orbs/Snatch%20Orb.jpg
Storage Orb,Allows you to access your Storage,150P,Orbs/Storage%20Orb.jpg
Sunny Orb,Starts Sunny weather on the current floor,200P,Orbs/Sunny%20Orb.jpg
Switcher Orb,"Switches position with another Pokémon you can see, range: user",100P,Orbs/Switcher%20Orb.jpg
Totter Orb,"Gives Confused status, range: foe in front",100P,Orbs/Totter%20Orb.jpg
Trapbust Orb,Destroys all Traps on the current floor,200P,Orbs/Trapbust%20Orb.jpg
Trawl Orb,"Draws all items to user, range: current floor",200P,Orbs/Trawl%20Orb.jpg
Weather Lock Orb,"Ends any Weather conditions on the current floor, and it cannot be changed.",200P,Orbs/Weather%20Lock%20Orb.jpg
Warp Orb,"Warps foe to elsewhere on the same floor, range: foe in front",150P,Orbs/Warp%20Orb.jpg
