Name,Description,Cost,Path
Blue Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with blue aura by 2 (Quiet Nature) ",1000P,Ribbons/Blue%20Ribbon.jpg
Brown Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with brown aura by 2 (Mild Nature)",1000P,Ribbons/Brown%20Ribbon.jpg
Green Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with green aura by 2 (Relaxed Nature)",1000P,Ribbons/Green%20Ribbon.jpg
Sapphire Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with sapphire aura by 2 (Lonely Nature)",1000P,Ribbons/Sapphire%20Ribbon.jpg
Magenta Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with magenta aura by 2 (Impish Nature) ",1000P,Ribbons/Magenta%20Ribbon.jpg
Mint Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with mint aura by 2 (Gentle Nature)",1000P,Ribbons/Mint%20Ribbon.jpg
Olive Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with olive aura by 2 (Calm Nature)",1000P,Ribbons/Olive%20Ribbon.jpg
Orange Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with orange aura by 2 (Adamant Nature)",1000P,Ribbons/Orange%20Ribbon.jpg
Pink Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with pink aura by 2 (Jolly Nature)",1000P,Ribbons/Pink%20Ribbon.jpg
Purple Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with purple aura by 2 (Careful Nature)",1000P,Ribbons/Purple%20Ribbon.jpg
Red Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with red aura by 2 (Hasty Nature)",1000P,Ribbons/Red%20Ribbon.jpg
Silver Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with silver aura by 2 (Brave Nature)",1000P,Ribbons/Silver%20Ribbon.jpg
Lime Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with lime aura by 2 (Quirky Nature)",1000P,Ribbons/Lime%20Ribbon.jpg
Violet Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with violet aura by 2 (Bold Nature)",1000P,Ribbons/Violet%20Ribbon.jpg
Turquoise Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with turquoise aura by 2 (Modest Nature)",1000P,Ribbons/Turquoise%20Ribbon.jpg
Yellow Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with yellow aura by 2 (Sassy Nature)",1000P,Ribbons/Yellow%20Ribbon.jpg
Pearl Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with pearl aura by 2 (Rash Nature)",1000P,Ribbons/Pearl%20Ribbon.jpg
Black Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with black aura by 2 (Serious Nature)",1000P,Ribbons/Black%20Ribbon.jpg
Scarlet Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with scarlet aura by 2 (Hardy Nature)",1000P,Ribbons/Scarlet%20Ribbon.jpg
Diamond Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with diamond aura by 2 (Docile Nature)",1000P,Ribbons/Diamond%20Ribbon.jpg
White Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with white aura by 2 (Naive Nature)",1000P,Ribbons/White%20Ribbon.jpg
Platinum Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with platinum aura by 2 (Lax Nature)",1000P,Ribbons/Platinum%20Ribbon.jpg
Gold Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with gold aura by 2 (Bashful Nature)",1000P,Ribbons/Gold%20Ribbon.jpg
Ruby Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with ruby aura by 2 (Naughty Nature)",1000P,Ribbons/Ruby%20Ribbon.jpg
Emerald Ribbon,"Raises Attack, Defense, Special Attack and Special Defense modifiers of users with emerald aura by 2 (Timid Nature)",1000P,Ribbons/Emerald%20Ribbon.jpg
