Name,Description,Cost,Path
Bounce Band,Bounces off all thrown items,,Scarves%20Bands/Bounce%20Band.jpg
Covert Cloak,You do not suffer additional effects of Physical and Special Moves.,,Scarves%20Bands/Covert%20Cloak.jpg
Curve Band,Makes items thrown in a straight-line ricochet off walls. ,,Scarves%20Bands/Curve%20Band.jpg
Def. Scarf,Boosts user's Defence Modifier by 2.,,Scarves%20Bands/Def.%20Scarf.jpg
Detect Band,You roll 1 additional Skill Die when making an Awareness Check.,,Scarves%20Bands/Detect%20Band.jpg
Friend Bow,You gain 2 Friendship Dice whenever you clear your Friendship Track. You roll 1 additional Skill Die when recruiting a Pokémon to your Team.,5000P,Scarves%20Bands/Friend%20Bow.jpg
Focus Band,"If the User would be reduced to 0HP, roll a d6. On a 3-6, you drop to 1HP instead. You can only use this Item once per battle.",,Scarves%20Bands/Focus%20Band.jpg
Gold Bow,High priced item.,10000P,Scarves%20Bands/Gold%20Bow.jpg
Choice Band,"Your first Physical Move in a Battle has its Move Power increased by 1, but you cannot use any other Move for the rest of the Battle.",5000P,Scarves%20Bands/Choice%20Band.jpg
Choice Scarf,"The first Move you use in a Battle becomes a Priority Move, but you cannot use any other Move for the rest of the Battle.",,Scarves%20Bands/Choice%20Scarf.jpg
Heal Ribbon,"When you use a Move that heals, you roll an additional dice.",1000P,Scarves%20Bands/Heal%20Ribbon.jpg
Mobile Scarf,"Boosts user's Speed Modifier by 2, and allows the user to walk on any surface.",10000P,Scarves%20Bands/Mobile%20Scarf.jpg
Munch Band,"Boosts user's Attack and Special Attack modifier by 5, but you need to eat twice as much per day.",,Scarves%20Bands/Munch%20Band.jpg
No-Stick Cap,Prevents Items from being Sticky.,,Scarves%20Bands/No-Stick%20Cap.jpg
Pass Scarf,"Passes added effects of Moves and Status Conditions to adjacent Pokémon, but your Belly lowers twice as fast.",,Scarves%20Bands/Pass%20Scarf.jpg
Pecha Scarf,Prevents Poisoned and Badly Poisoned conditions.,,Scarves%20Bands/Pecha%20Scarf.jpg
Persim Band,Prevents Confused condition.,,Scarves%20Bands/Persim%20Band.jpg
Pierce Band,Makes items thrown in a straight-line Pierce through everything without stopping until it hits a Wall.,,Scarves%20Bands/Pierce%20Band.jpg
Power Band,Boosts user's Attack modifier by 2.,,Scarves%20Bands/Power%20Band.jpg
Racket Band,Prevents Asleep condition.,,Scarves%20Bands/Racket%20Band.jpg
Sneak Scarf,You roll 1 additional Skill Die when making a Sneak Check.,,Scarves%20Bands/Sneak%20Scarf.jpg
Special Ribbon,Boosts user's Special Attack modifier by 2.,,Scarves%20Bands/Special%20Ribbon.jpg
Stamina Band,You roll 1 additional Skill Die when making an Endurance Check.,,Scarves%20Bands/Stamina%20Band.jpg
Tracker Band,Your Team always knows your location.,,Scarves%20Bands/Tracker%20Band.jpg
Trap Scarf,Prevents traps from going off if stepped on.,,Scarves%20Bands/Trap%20Scarf.jpg
Twist Band,Prevents Attack and Special Attack from lowering.,,Scarves%20Bands/Twist%20Band.jpg
Warp Scarf,"Every 10 steps, warps the bearer to elsewhere on the same floor.",,Scarves%20Bands/Warp%20Scarf.jpg
Weather Band,The user ignores weather effects,,Scarves%20Bands/Weather%20Band.jpg
Zinc Band,Boosts user's Special Defense modifier by 2.,,Scarves%20Bands/Zinc%20Band.jpg
