Name,Description,Cost,Path
X-Eye Seed,Gives Blinded status.,75P,Seeds/X-Eye%20Seed.jpg
Blast Seed,"Deals 2d6 Fire-Type damage to the Pokémon 1-tile in front when used. Can be thrown to deal 2d6 Fire-Type damage to the Pokémon it hits. When held, and you are damaged by a Fire-Type Move, it explodes and deals 2d6 Fire-Type Damage to the User.",30P,Seeds/Blast%20Seed.jpg
Eyedrop Seed,Gives Eyedrop status.,75P,Seeds/Eyedrop%20Seed.jpg
Vile Seed,Damage taken from the next Move deals double damage.,300P,Seeds/Vile%20Seed.jpg
Violent Seed,Next Move deals double damage.,300P,Seeds/Violent%20Seed.jpg
Heal Seed,"Heals all Status Conditions, fills Belly by 20.",50P,Seeds/Heal%20Seed.jpg
Hunger Seed,Your Belly is as if you hadn’t eaten for 2 days.,100P,Seeds/Hunger%20Seed.jpg
Life Seed,Raises max HP by 5.,500P,Seeds/Life%20Seed.jpg
Plain Seed,No effect. Appears when a Reviver Seed or Tiny Reviver Seed has been used.,5P,Seeds/Plain%20Seed.jpg
Quick Seed,Raises Battle Movement by 2 for this Floor.,50P,Seeds/Quick%20Seed.jpg
Reviver Seed,"Revives fainted Pokémon, and you restore all PP. Becomes Plain Seed afterwards.",300P,Seeds/Reviver%20Seed.jpg
Tiny Reviver Seed,Revives fainted Pokémon. Becomes Plain Seed afterwards.,200P,Seeds/Tiny%20Reviver%20Seed.jpg
Pure Seed,Warps the Team to the next dungeon floor.,500P,Seeds/Pure%20Seed.jpg
Sleep Seed,Gives Asleep status.,75P,Seeds/Sleep%20Seed.jpg
Stun Seed,Gives Restrained status.,75P,Seeds/Stun%20Seed.jpg
Totter Seed,Gives Confused status.,75P,Seeds/Totter%20Seed.jpg
Vanish Seed,Gives Invisible status.,100P,Seeds/Vanish%20Seed.jpg
Warp Seed,Warps Pokémon to elsewhere on the Current Floor.,75P,Seeds/Warp%20Seed.jpg
