Name,Description,Cost,Path
Ancient Fossil,Arcs and hits target for 3d6 damage. Deals damage as Rock Type.,25P,Thrown/Ancient%20Fossil.jpg
Geo Pebble,Arcs and hits target for 1d6 damage Deals damage as Rock Type.,5P,Thrown/Geo%20Pebble.jpg
Gravelerock,Arcs and hits target for 2d6 damage Deals damage as Rock Type.,10P,Thrown/Gravelerock.jpg
Smoke Ball,"Arcs and hits a target Tile, whereupon it explodes, causing a smoke to erupt that Blinds Pokémon in a 1-Tile Range. The smoke clears after 2 Rounds of Battle.",250P,Thrown/Smoke%20Ball.jpg
Cacnea Spike,Hits target for 3d6 Damage. Deals damage as Grass Type. Thrown in a straight line.,10P,Thrown/Cacnea%20Spike.jpg
Corsola Twig,Hits target for 3d6 Damage. Deals damage as Rock Type. Thrown in a straight line.,10P,Thrown/Corsola%20Twig.jpg
Gold Spike,Hits target for 4d6 damage. Deals damage as Steel Type. Thrown in a straight line.,25P,Thrown/Gold%20Spike.jpg
Iron Spike,Hits target for 2d6 damage. Deals damage as Steel Type. Thrown in a straight line.,10P,Thrown/Iron%20Spike.jpg
Silver Spike,Hits target for 3d6 damage. Deals damage as Steel Type. Thrown in a straight line.,25P,Thrown/Silver%20Spike.jpg
Wooden Spike,Hits target for 1d6 damage. Deals damage as Grass Type. Thrown in a straight line,5P,Thrown/Wooden%20Spike.jpg
